"democracy_type","model_number","effect_name","control_set","control_variable","estimate","std_error","p_value","nobs","signif_0_05","signif_0_10"
"BMR","M1","DC_Mand_Revise2","","imfprog",1.41688980080277,0.287277945817793,3.8668697346999e-06,213,TRUE,TRUE
"BMR","M3","DC_Mand_Revise2","","imfprog",1.47386359922192,0.270075055719951,1.36915450118479e-07,216,TRUE,TRUE
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","imfprog",1.66946782909508,0.636012268470049,0.0140942769448658,77,TRUE,TRUE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","imfprog",1.27271852518057,0.315796174484298,7.92760454895592e-05,216,TRUE,TRUE
"BMR","M1","DC_Mand_Revise2","","kaopen",1.0278564968942,0.293363188215624,0.000850220089746182,87,TRUE,TRUE
"BMR","M3","DC_Mand_Revise2","","kaopen",1.42285930094362,0.263578837777116,1.8469025261052e-07,216,TRUE,TRUE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","kaopen",1.21046592149242,0.307825020147258,0.000116338657337108,216,TRUE,TRUE
"BMR","M1","DC_Mand_Revise2","","Quinn",1.15290177090635,0.3237260176646,0.00079932389734042,91,TRUE,TRUE
"BMR","M3","DC_Mand_Revise2","","Quinn",1.49428307440104,0.266650981901726,6.60572231758002e-08,216,TRUE,TRUE
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","Quinn",1.45289981675099,0.794379698411923,0.0823555009748509,47,FALSE,TRUE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","Quinn",1.2457001586496,0.320713178308684,0.000139848067144025,216,TRUE,TRUE
"V-Dem","M1","DC_Mand_Revise2","","imfprog",1.53923357563889,0.290477713685782,7.29061658523229e-07,259,TRUE,TRUE
"V-Dem","M3","DC_Mand_Revise2","","imfprog",1.59634184566021,0.277799090361758,2.55611601550755e-08,267,TRUE,TRUE
"V-Dem","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","imfprog",2.45811229351684,0.717731263517053,0.00162289101424168,107,TRUE,TRUE
"V-Dem","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","imfprog",1.44568921357751,0.292523153141514,1.41760682736367e-06,267,TRUE,TRUE
"V-Dem","M1","DC_Mand_Revise2","","kaopen",1.26800816378152,0.286095716269127,3.48570444154963e-05,97,TRUE,TRUE
"V-Dem","M3","DC_Mand_Revise2","","kaopen",1.59992669061214,0.276367436944802,2.06015387827753e-08,267,TRUE,TRUE
"V-Dem","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","kaopen",1.43294991994913,0.288834845605606,1.30176573495637e-06,267,TRUE,TRUE
"V-Dem","M1","DC_Mand_Revise2","","Quinn",1.44955831717405,0.34283754348338,8.46207222680705e-05,110,TRUE,TRUE
"V-Dem","M3","DC_Mand_Revise2","","Quinn",1.61575940376776,0.280500284501366,2.3778926489385e-08,267,TRUE,TRUE
"V-Dem","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","Quinn",2.73913391393753,0.94000795252534,0.00741768307005407,62,TRUE,TRUE
"V-Dem","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","Quinn",1.44498418203458,0.295234287184921,1.77551595964412e-06,267,TRUE,TRUE
"POLITY","M1","DC_Mand_Revise2","","imfprog",1.36923719991067,0.285756148628652,5.69513952138403e-06,253,TRUE,TRUE
"POLITY","M3","DC_Mand_Revise2","","imfprog",1.40801984411319,0.273129136425824,5.20984349664285e-07,254,TRUE,TRUE
"POLITY","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","imfprog",2.28762532462404,0.632714774277754,0.00095956058952915,100,TRUE,TRUE
"POLITY","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","imfprog",1.32445477984015,0.307181702363475,2.38343804533272e-05,254,TRUE,TRUE
"POLITY","M1","DC_Mand_Revise2","","kaopen",1.10583502880033,0.289176965971572,0.000284636549651422,99,TRUE,TRUE
"POLITY","M3","DC_Mand_Revise2","","kaopen",1.417089139314,0.270900384916248,3.65067647056842e-07,254,TRUE,TRUE
"POLITY","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","kaopen",2.36420623209009,0.63787046126387,0.00139623519351641,28,TRUE,TRUE
"POLITY","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","kaopen",1.31233735612741,0.304859704218266,2.46447527749968e-05,254,TRUE,TRUE
"POLITY","M1","DC_Mand_Revise2","","Quinn",1.30918465768672,0.340283116022951,0.000295656712022011,109,TRUE,TRUE
"POLITY","M3","DC_Mand_Revise2","","Quinn",1.4452193947913,0.277780901874942,4.1429123084943e-07,254,TRUE,TRUE
"POLITY","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","Quinn",2.30103126746398,0.629437639646211,0.00125137104090041,58,TRUE,TRUE
"POLITY","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","Quinn",1.36301339600143,0.312673178422118,1.95426655618084e-05,254,TRUE,TRUE
