"democracy_type","model_number","effect_name","control_set","control_variable","estimate","std_error","p_value","nobs","signif_0_05","signif_0_10"
"BMR","M1","DC_Mand_Revise2","","bankloan_firm_gdp",NA,NA,NA,6,NA,NA
"BMR","M1","bankloan_firm_gdp","","bankloan_firm_gdp",0.0087123504941465,Inf,1,6,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2:bankloan_firm_gdp","","bankloan_firm_gdp",0.00421628062676091,Inf,1,6,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","bankloan_firm_gdp",1.61212774822295,0.595894476778568,0.00796298800694218,216,TRUE,TRUE
"BMR","M3","bankloan_firm_gdp","","bankloan_firm_gdp",-0.00262179990146365,0.00587182328735783,0.656101890912658,216,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2:bankloan_firm_gdp","","bankloan_firm_gdp",-0.00355530727005554,0.0207571207387093,0.864324112799682,216,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","bankloan_firm_gdp",1.42655377346553,0.618061631002005,0.0229836171728792,216,TRUE,TRUE
"BMR","M4","bankloan_firm_gdp","+debt+partisan_cons+factor(period_dummies72)","bankloan_firm_gdp",0.00124629697286995,0.00606892432887862,0.837685610254482,216,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2:bankloan_firm_gdp","+debt+partisan_cons+factor(period_dummies72)","bankloan_firm_gdp",-0.00592560256296836,0.0205255705862484,0.773413424459946,216,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","assets_JST_dba",1.12445696057807,0.41292684942752,0.00832438603540089,84,TRUE,TRUE
"BMR","M1","assets_JST_dba","","assets_JST_dba",0.00613945967780231,0.0117334133885123,0.602610211496559,84,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2:assets_JST_dba","","assets_JST_dba",0.000573843769899898,0.0134340337959137,0.966061176350105,84,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","assets_JST_dba",1.24451875941382,0.300250914531969,5.01053581627041e-05,216,TRUE,TRUE
"BMR","M3","assets_JST_dba","","assets_JST_dba",-0.000375810057256409,0.00264232832329093,0.887132689300845,216,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2:assets_JST_dba","","assets_JST_dba",0.00688021540030308,0.00838991990451985,0.413155022361396,216,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","assets_JST_dba",1.08761055226446,0.350120126617155,0.0021787779867753,216,TRUE,TRUE
"BMR","M4","assets_JST_dba","+debt+partisan_cons+factor(period_dummies72)","assets_JST_dba",0.00151385340373643,0.00289275431453549,0.601769157981995,216,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2:assets_JST_dba","+debt+partisan_cons+factor(period_dummies72)","assets_JST_dba",0.00491206242650688,0.00801518493559702,0.540708806421502,216,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","bankloan_total_gdp",1.16838374742211,0.336038343268117,0.000863819970540512,119,TRUE,TRUE
"BMR","M1","bankloan_total_gdp","","bankloan_total_gdp",0.000711327745443011,0.0060435533094797,0.906632898068008,119,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2:bankloan_total_gdp","","bankloan_total_gdp",0.00209266043800643,0.0106077337767011,0.844166744547835,119,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","bankloan_total_gdp",1.32992857103242,0.306687029058614,2.2953189429521e-05,216,TRUE,TRUE
