"democracy_type","model_number","effect_name","control_set","control_variable","estimate","std_error","p_value","nobs","signif_0_05","signif_0_10"
"BMR","M1","DC_Mand_Revise2","","C_Prop_Index",8.27017797027159,7.56146994304693,0.305910797525951,23,FALSE,FALSE
"BMR","M1","C_Prop_Index","","C_Prop_Index",-0.09294564142,0.102963040106176,0.393048543605703,23,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","C_Prop_Index",1.49812555294597,0.274651864873595,1.42567052597699e-07,216,TRUE,TRUE
"BMR","M3","C_Prop_Index","","C_Prop_Index",-0.000464699157923201,0.00234630570175824,0.843329840216479,216,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","C_Prop_Index",16.3266402550548,2.7753835024376,0.000610073159614195,18,TRUE,TRUE
"BMR","M2","C_Prop_Index","+debt+partisan_cons+factor(period_dummies72)","C_Prop_Index",-0.224570257876244,0.0358370083534568,0.000417463065005702,18,TRUE,TRUE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","C_Prop_Index",1.3046553914844,0.318480604242679,6.12205104141072e-05,216,TRUE,TRUE
"BMR","M4","C_Prop_Index","+debt+partisan_cons+factor(period_dummies72)","C_Prop_Index",-0.00246419027796825,0.0026630969630467,0.356755884234406,216,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","deposits_new",1.1828637675953,0.310335491515094,0.000309308352503025,85,TRUE,TRUE
"BMR","M1","deposits_new","","deposits_new",-0.00195932198644364,0.000434813063600618,2.81655171317495e-05,85,TRUE,TRUE
"BMR","M3","DC_Mand_Revise2","","deposits_new",1.48512026753206,0.265629916499595,7.04483294274115e-08,216,TRUE,TRUE
"BMR","M3","deposits_new","","deposits_new",-0.00125976239917137,0.000837712716549172,0.134930134025645,216,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","deposits_new",1.26229536405024,0.317192988035632,9.66707771460231e-05,216,TRUE,TRUE
"BMR","M4","deposits_new","+debt+partisan_cons+factor(period_dummies72)","deposits_new",-0.00178623750285015,0.000885371548751129,0.0456151550444424,216,TRUE,TRUE
"BMR","M1","DC_Mand_Revise2","","bankloan_mortgage_gdp",NA,NA,NA,29,NA,NA
"BMR","M1","bankloan_mortgage_gdp","","bankloan_mortgage_gdp",-0.0240086344682347,0.0265811582418738,0.396425861856155,29,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","bankloan_mortgage_gdp",1.42315640227828,0.284911481372626,1.28253692877514e-06,216,TRUE,TRUE
"BMR","M3","bankloan_mortgage_gdp","","bankloan_mortgage_gdp",-0.00487875150645671,0.00668001713000931,0.466753809658182,216,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","bankloan_mortgage_gdp",NA,NA,NA,26,NA,NA
"BMR","M2","bankloan_mortgage_gdp","+debt+partisan_cons+factor(period_dummies72)","bankloan_mortgage_gdp",0.00800058217832757,0.01798682224287,0.669890744155739,26,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","bankloan_mortgage_gdp",1.24346976220574,0.322523706498997,0.000156864332409601,216,TRUE,TRUE
"BMR","M4","bankloan_mortgage_gdp","+debt+partisan_cons+factor(period_dummies72)","bankloan_mortgage_gdp",-0.00287739298443635,0.00693323715496493,0.679079569386784,216,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","bankloan_household_gdp",-2.23716845139082,0.336207692677744,0.00264893270326914,7,TRUE,TRUE
"BMR","M1","bankloan_household_gdp","","bankloan_household_gdp",-0.149941811661226,0.00765255322784074,4.00111950781244e-05,7,TRUE,TRUE
"BMR","M3","DC_Mand_Revise2","","bankloan_household_gdp",1.42677662921806,0.282810721005989,1.00797131934652e-06,216,TRUE,TRUE
"BMR","M3","bankloan_household_gdp","","bankloan_household_gdp",-0.00681149731420515,0.00668281206879849,0.310455648840321,216,FALSE,FALSE
