"democracy_type","model_number","effect_name","control_set","control_variable","estimate","std_error","p_value","nobs","signif_0_05","signif_0_10"
"BMR","M1","DC_Mand_Revise2","","bankloan_firm_gdp",0.130498864434433,Inf,1,6,FALSE,FALSE
"BMR","M1","bankloan_firm_gdp","","bankloan_firm_gdp",0.00949253805435253,Inf,1,6,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","bankloan_firm_gdp",1.51398175430391,0.263337942927039,3.26369199057391e-08,216,TRUE,TRUE
"BMR","M3","bankloan_firm_gdp","","bankloan_firm_gdp",-0.00294930463264266,0.00582663967548403,0.613822911595733,216,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","bankloan_firm_gdp",1.26352038915753,0.320145760150387,0.000111084286717373,216,TRUE,TRUE
"BMR","M4","bankloan_firm_gdp","+debt+partisan_cons+factor(period_dummies72)","bankloan_firm_gdp",0.000662330508223282,0.00606790171956647,0.913305259655462,216,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","assets_JST_dba",1.14290172840676,0.295427230991658,0.000258962725893214,84,TRUE,TRUE
"BMR","M1","assets_JST_dba","","assets_JST_dba",0.00644859328117053,0.00698889688554997,0.359633694167979,84,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","assets_JST_dba",1.48323202426531,0.262540872461054,5.24866072376008e-08,216,TRUE,TRUE
"BMR","M3","assets_JST_dba","","assets_JST_dba",0.000196757791041565,0.00260467048454584,0.939896813753932,216,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","assets_JST_dba",1.25878513660518,0.305550795568809,5.56294897264705e-05,216,TRUE,TRUE
"BMR","M4","assets_JST_dba","+debt+partisan_cons+factor(period_dummies72)","assets_JST_dba",0.00195894394218279,0.00280204615351647,0.485826316292004,216,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","bankloan_total_gdp",1.23872718643193,0.283026512030273,4.00344380733815e-05,119,TRUE,TRUE
"BMR","M1","bankloan_total_gdp","","bankloan_total_gdp",0.00143087556259346,0.00535016691844778,0.789891149276446,119,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","bankloan_total_gdp",1.48330696725483,0.266193768264819,7.73411049894846e-08,216,TRUE,TRUE
"BMR","M3","bankloan_total_gdp","","bankloan_total_gdp",-0.00139075142263763,0.00288420137037929,0.630432656778506,216,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","bankloan_total_gdp",1.68356913108625,0.667945594534599,0.0191080574628397,54,TRUE,TRUE
"BMR","M2","bankloan_total_gdp","+debt+partisan_cons+factor(period_dummies72)","bankloan_total_gdp",-0.00840376712974213,0.00700167517433175,0.242258948313324,54,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","bankloan_total_gdp",1.26439318834168,0.308594128137963,6.08571793636357e-05,216,TRUE,TRUE
"BMR","M4","bankloan_total_gdp","+debt+partisan_cons+factor(period_dummies72)","bankloan_total_gdp",0.000726879009249633,0.00311346031955382,0.815757788127883,216,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","v2x_regime_closed",1.22284937987003,0.286087511943152,5.19496126457686e-05,143,TRUE,TRUE
"BMR","M1","v2x_regime_closed","","v2x_regime_closed",-0.154240268920352,0.222041124325832,0.489264123196873,143,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","v2x_regime_closed",1.24701810685889,0.284010494191696,2.23076602129758e-05,146,TRUE,TRUE
"BMR","M3","v2x_regime_closed","","v2x_regime_closed",-0.161656090280651,0.215137779136184,0.453686922095396,146,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_regime_closed",1.80370930790839,0.751643784956828,0.0249019317185088,51,TRUE,TRUE
"BMR","M2","v2x_regime_closed","+debt+partisan_cons+factor(period_dummies72)","v2x_regime_closed",0.264979155137079,0.360568053689261,0.469831718824461,51,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_regime_closed",1.19228339088586,0.326380881318971,0.00037491963463688,146,TRUE,TRUE
"BMR","M4","v2x_regime_closed","+debt+partisan_cons+factor(period_dummies72)","v2x_regime_closed",-0.154067888897597,0.225193867118601,0.495086872216139,146,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","v2x_regime_electoral",1.27111588425477,0.277251155888006,1.63334861052579e-05,143,TRUE,TRUE
"BMR","M1","v2x_regime_electoral","","v2x_regime_electoral",-0.0773704823763227,0.242022130642892,0.750031356374614,143,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","v2x_regime_electoral",1.44946953766435,0.262148290778886,9.64684472490098e-08,216,TRUE,TRUE
"BMR","M3","v2x_regime_electoral","","v2x_regime_electoral",0.0956687350405458,0.188872294031496,0.613092821314382,216,FALSE,FALSE
